id,nome,data_nascimento,sexo,email,telefone,endereço,data_curso
1,Ana Silva,2000-01-15,F,ana@email.com,11999999999,Rua A,
2,Bruno Costa,1999-05-20,M,bruno@email.com,11988888888,Rua B,
3,Carlos Souza,2001-08-30,M,carlos@email.com,11977777777,Rua C,
4,Daniela Lima,2000-12-12,F,daniela@email.com,11966666666,Rua D,
5,Eduardo Rocha,1998-03-10,M,eduardo@email.com,11955555555,Rua E,
6,Fernanda Alves,2001-07-25,F,fernanda@email.com,11944444444,Rua F,
7,Gustavo Melo,1999-11-02,M,gustavo@email.com,11933333333,Rua G,
8,Helena Pinto,2000-09-09,F,helena@email.com,11922222222,Rua H,
9,Igor Santos,2001-04-14,M,igor@email.com,11911111111,Rua I,
10,Juliana Martins,1998-06-18,F,juliana@email.com,11900000000,Rua J,
